site,link,title
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffpostarabi.com/?country=AR,عربي (Arabi)
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com.au/?country=AU,Australia
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffpostbrasil.com/?country=BR,Brasil
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.ca/?country=CA,Canada
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.de/?country=DE,Deutschland
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.es/?country=ES,España
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.fr/?country=FR,France
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.gr/?country=GR,Ελλάδα (Greece)
"The New York Times - Breaking News, World News & Multimedia",http://www.nytimes.com/content/help/site/ie9-support.html,LEARN MORE »
"CNN - Breaking News, Latest News and Videos",/,
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.in/?country=IN,India
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.it/?country=IT,Italia
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.jp/?country=JP,日本 (Japan)
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.kr/?country=KR,한국 (Korea)
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffpostmaghreb.com/?country=MG,Maghreb
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com.mx/?country=MX,México
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://quebec.huffingtonpost.ca/?country=QC,Québec (En Francais)
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.co.za/?country=ZA,South Africa
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,//foxnews.com,
"The New York Times - Breaking News, World News & Multimedia",#top-news,Skip to content
"The New York Times - Breaking News, World News & Multimedia",#site-index-navigation,Skip to navigation
"The New York Times - Breaking News, World News & Multimedia",http://cn.nytimes.com,中文 (Chinese)
"The New York Times - Breaking News, World News & Multimedia",http://www.nytimes.com/es/,Español
"The New York Times - Breaking News, World News & Multimedia",http://www.nytimes.com/,"
    ,

"
"The New York Times - Breaking News, World News & Multimedia",http://www.nytimes.com/pages/todayspaper/index.html,Today’s Paper
"The New York Times - Breaking News, World News & Multimedia",http://www.nytimes.com/video,Video
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/pages/world/index.html,World
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/pages/national/index.html,U.S.
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/pages/politics/index.html,Politics
"CNN - Breaking News, Latest News and Videos",/,Home
"CNN - Breaking News, Latest News and Videos",/us,U.S.
"CNN - Breaking News, Latest News and Videos",/world,World
"CNN - Breaking News, Latest News and Videos",/politics,Politics
"CNN - Breaking News, Latest News and Videos",//money.cnn.com,Money
"CNN - Breaking News, Latest News and Videos",/opinions,Opinion
"CNN - Breaking News, Latest News and Videos",/health,Health
"CNN - Breaking News, Latest News and Videos",/entertainment,Entertainment
"CNN - Breaking News, Latest News and Videos",//money.cnn.com/technology,Tech
"CNN - Breaking News, Latest News and Videos",/style,Style
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.co.uk/?country=UK,United Kingdom
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com/?country=US,United States
Breaking News and Opinion on The Huffington Post | The Huffington Post,/,"
,
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,https://twitter.com/HuffingtonPost,
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://facebook.com/HuffingtonPost,
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://pinterest.com/huffingtonpost,
Breaking News and Opinion on The Huffington Post | The Huffington Post,/newsletters,
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com/,"NEWS
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://highline.huffingtonpost.com/,"
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com/section/science,"
"
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,//foxbusiness.com,
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,//www.foxnewsgo.com,
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,//radio.foxnews.com,
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,//nation.foxnews.com,
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,//foxnewsinsider.com/,
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,//www.foxnews.com?intcmp=logo,FoxNews.com
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,#,Search
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,//www.facebook.com/FoxNews,Fox News Facebook
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/pages/nyregion/index.html,N.Y.
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/pages/business/index.html,Business
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/pages/business/international/index.html,Business
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/pages/opinion/index.html,Opinion
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/pages/opinion/international/index.html,Opinion
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/pages/technology/index.html,Tech
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/section/science,Science
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/pages/health/index.html,Health
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/pages/sports/index.html,Sports
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/pages/sports/international/index.html,Sports
"CNN - Breaking News, Latest News and Videos",/travel,Travel
"CNN - Breaking News, Latest News and Videos",//bleacherreport.com,Sports
"CNN - Breaking News, Latest News and Videos",/videos,Video
"CNN - Breaking News, Latest News and Videos",/vr,VR
"CNN - Breaking News, Latest News and Videos",http://cnn.it/go2,Live TV 
"CNN - Breaking News, Latest News and Videos",/,Home
"CNN - Breaking News, Latest News and Videos",/us,U.S.
"CNN - Breaking News, Latest News and Videos",/specials/us/crime-and-justice,Crime + Justice
"CNN - Breaking News, Latest News and Videos",/specials/us/energy-and-environment,Energy + Environment
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com/section/education,"
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com/section/weird-news,"
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com/section/business,"
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://testkitchen.huffingtonpost.com/,"
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com/section/technology,"
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com/section/college,"
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com/section/media,"
"
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,//twitter.com/FoxNews,Fox News Twitter
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,//plus.google.com/+FoxNews,Fox News Google+
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,//www.foxnews.com,Home
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,//video.foxnews.com,Video
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,/politics.html,Politics
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,/us.html,U.S.
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,/opinion.html,Opinion
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,//foxbusiness.com,Business
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,/entertainment.html,Entertainment
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,/tech.html,Tech
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/pages/arts/index.html,Arts
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/pages/arts/international/index.html,Arts
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/pages/fashion/index.html,Style
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/pages/style/international/index.html,Style
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/pages/dining/index.html,Food
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/pages/dining/international/index.html,Food
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/section/travel,Travel
" Washington Post: National, World & D.C. Area News and Headlines - The Washington Post",,Turn off
"CNN - Breaking News, Latest News and Videos",/specials/us/extreme-weather,Extreme Weather
"CNN - Breaking News, Latest News and Videos",/specials/space-science,Space + Science
"CNN - Breaking News, Latest News and Videos",/world,World
"CNN - Breaking News, Latest News and Videos",/africa,Africa
"CNN - Breaking News, Latest News and Videos",/americas,Americas
"CNN - Breaking News, Latest News and Videos",/asia,Asia
"CNN - Breaking News, Latest News and Videos",/europe,Europe
"CNN - Breaking News, Latest News and Videos",/middle-east,Middle East
"CNN - Breaking News, Latest News and Videos",/politics,
"CNN - Breaking News, Latest News and Videos",/specials/politics/president-donald-trump-45,45
"NBC News - Breaking News & Top Stories - Latest World, US & Local News",/,"
      "
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com/section/politics,"POLITICS
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://elections.huffingtonpost.com/pollster,"
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com/topic/heroin-epidemic,"
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com/topic/donald-trump,"
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com/topic/racial-inequality,"
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com/topic/us-senate,"
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://elections.huffingtonpost.com/2016/results/president,"
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com/topic/huffpost-hill,"
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com/topic/police-brutality,"
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com/topic/hate-crimes,"
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com/topic/supreme-court,"
"
Breaking News and Opinion on The Huffington Post | The Huffington Post,http://www.huffingtonpost.com/topic/congress,"
"
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,/science.html,Science
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,/health.html,Health
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,/travel.html,Travel
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,/lifestyle.html,Lifestyle
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,/world.html,World
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,/shows.html,On Air
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,http://www.foxnews.com/politics/2017/04/08/congressional-republicans-take-heat-at-home-on-obamacare-say-priority-is-avoiding-shutdown.html,"TAKING HEAT: GOP lawmakers get hit on health care over recess, say avoiding gov't shutdown is priority"
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,http://www.foxnews.com/politics/2017/04/08/congressional-republicans-take-heat-at-home-on-obamacare-say-priority-is-avoiding-shutdown.html," ,
	"
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,http://www.foxnews.com/politics/2017/04/04/revenge-trumpcare.html, The revenge of TrumpCare  
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,http://www.foxnews.com/politics/2017/04/01/gop-congressman-booed-at-salt-lake-city-town-hall.html,GOP congressman booed at Salt Lake City town hall
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos,http://www.foxnews.com/politics/2017/04/05/pence-says-chemical-attack-in-syria-reflection-failure-obama-admin-to-confront-violence.html,Pence: Republicans have made 'good progress' in new ObamaCare repeal bid
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/pages/magazine/index.html,Magazine
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/section/t-magazine,T Magazine
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/section/realestate,Real Estate
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/2017/04/08/us/politics/trump-doctrine-foreign-policy.html,"With Airstrike, Trump Reveals a Doctrine That Improvises"
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/2017/04/07/us/politics/donald-trump-syria-twitter.html,"How a President’s View of Syria Evolved, in 19 Tweets"
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/2017/04/08/world/europe/us-attack-on-syria-cements-kremlins-embrace-of-assad.html,Moscow Finds New Solidarity With Damascus
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/2017/04/08/world/middleeast/us-strike-on-syria-brings-fleeting-hope-to-those-caught-in-brutal-conflict.html,
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/2017/04/08/world/middleeast/us-strike-on-syria-brings-fleeting-hope-to-those-caught-in-brutal-conflict.html,Strike Brings Fleeting Hope on the Ground
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/2017/04/08/world/middleeast/us-strike-on-syria-brings-fleeting-hope-to-those-caught-in-brutal-conflict.html?hp&target=comments#commentsContainer,
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/2017/04/07/us/syria-refugees-trump.html,‘It’s Required by Humanity’: Syrian Refugees React to U.S. Strike
"The New York Times - Breaking News, World News & Multimedia",https://www.nytimes.com/2017/04/08/world/americas/trump-nikki-haley-united-nations.html,"Once a Critic, Haley Becomes Trump’s Leading Diplomat"
" Washington Post: National, World & D.C. Area News and Headlines - The Washington Post",https://www.washingtonpost.com," , , "
" Washington Post: National, World & D.C. Area News and Headlines - The Washington Post",#," Sections , "
" Washington Post: National, World & D.C. Area News and Headlines - The Washington Post",#," , "
" Washington Post: National, World & D.C. Area News and Headlines - The Washington Post",http://www.washingtonpost.com/politics/,Politics
