link,title,site
http://www.huffpostarabi.com/?country=AR,عربي (Arabi),Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com.au/?country=AU,Australia,Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffpostbrasil.com/?country=BR,Brasil,Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.ca/?country=CA,Canada,Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.de/?country=DE,Deutschland,Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.es/?country=ES,España,Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.fr/?country=FR,France,Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.gr/?country=GR,Ελλάδα (Greece),Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.in/?country=IN,India,Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.it/?country=IT,Italia,Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.jp/?country=JP,日本 (Japan),Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.kr/?country=KR,한국 (Korea),Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffpostmaghreb.com/?country=MG,Maghreb,Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com.mx/?country=MX,México,Breaking News and Opinion on The Huffington Post | The Huffington Post
http://quebec.huffingtonpost.ca/?country=QC,Québec (En Francais),Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.co.za/?country=ZA,South Africa,Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.co.uk/?country=UK,United Kingdom,Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/?country=US,United States,Breaking News and Opinion on The Huffington Post | The Huffington Post
/,"
,
",Breaking News and Opinion on The Huffington Post | The Huffington Post
https://twitter.com/HuffingtonPost,,Breaking News and Opinion on The Huffington Post | The Huffington Post
http://facebook.com/HuffingtonPost,,Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.nytimes.com/content/help/site/ie9-support.html,LEARN MORE »,"The New York Times - Breaking News, World News & Multimedia"
http://pinterest.com/huffingtonpost,,Breaking News and Opinion on The Huffington Post | The Huffington Post
/newsletters,,Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/,"NEWS
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://highline.huffingtonpost.com/,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/section/science,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/section/education,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
#top-news,Skip to content,"The New York Times - Breaking News, World News & Multimedia"
#site-index-navigation,Skip to navigation,"The New York Times - Breaking News, World News & Multimedia"
http://cn.nytimes.com,中文 (Chinese),"The New York Times - Breaking News, World News & Multimedia"
http://www.nytimes.com/es/,Español,"The New York Times - Breaking News, World News & Multimedia"
http://www.nytimes.com/,"
    ,

","The New York Times - Breaking News, World News & Multimedia"
http://www.nytimes.com/pages/todayspaper/index.html,Today’s Paper,"The New York Times - Breaking News, World News & Multimedia"
http://www.huffingtonpost.com/section/weird-news,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/section/business,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://testkitchen.huffingtonpost.com/,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/section/technology,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/section/college,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/section/media,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.nytimes.com/video,Video,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/pages/world/index.html,World,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/pages/national/index.html,U.S.,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/pages/politics/index.html,Politics,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/pages/nyregion/index.html,N.Y.,"The New York Times - Breaking News, World News & Multimedia"
http://www.huffingtonpost.com/section/politics,"POLITICS
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://elections.huffingtonpost.com/pollster,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/topic/heroin-epidemic,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/topic/donald-trump,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/topic/racial-inequality,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
/,,"CNN - Breaking News, Latest News and Videos"
https://www.nytimes.com/pages/business/index.html,Business,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/pages/business/international/index.html,Business,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/pages/opinion/index.html,Opinion,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/pages/opinion/international/index.html,Opinion,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/pages/technology/index.html,Tech,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/section/science,Science,"The New York Times - Breaking News, World News & Multimedia"
//foxnews.com,,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
//foxbusiness.com,,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
http://www.huffingtonpost.com/topic/us-senate,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://elections.huffingtonpost.com/2016/results/president,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/topic/huffpost-hill,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/topic/police-brutality,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/topic/hate-crimes,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
/,Home,"CNN - Breaking News, Latest News and Videos"
/us,U.S.,"CNN - Breaking News, Latest News and Videos"
