"site","title","link","title_wordcnt"
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","INFO BEYOND RUSSIA: Reports in unmasking controversy were detailed, had information about 'everyday lives'","http://www.foxnews.com/politics/2017/04/05/reports-in-unmasking-controversy-were-detailed-had-info-about-everyday-lives.html",14
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","VIDEO: Lawmakers consider asking Susan Rice to testify ","http://video.foxnews.com/v/5386848380001/",8
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","OPINION: Rice's track record makes it tough to believe her","http://fxn.ws/2oaV4fu",10
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","NEWT GINGRICH: For Team Trump the rule must be no immunity, no testimony","http://www.foxnews.com/opinion/2017/04/05/newt-gingrich-for-team-trump-rule-must-be-no-immunity-no-testimony.html",13
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos"," 'Huge scandal' if Susan Rice helped Dem party during election","http://insider.foxnews.com/2017/04/05/bill-oreilly-talking-points-scandal-if-susan-rice-helped-obama-democrats-election-trump",10
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","Krauthammer: 'We don't know a damn thing' about Susan Rice's misconduct","http://insider.foxnews.com/2017/04/05/charles-krauthammer-dont-know-if-susan-rice-guilty-unmasking-crime-against-trump-obama",11
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos"," Graham says 'easy to figure out' if Susan Rice broke the law","http://insider.foxnews.com/2017/04/05/lindsey-graham-susan-rice-scandal-easy-if-she-broke-law-unmasking-trump-campaign",12
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","PERINO & STIREWALT: Will the real Trump administration please step forward","https://radio.foxnews.com/2017/04/05/ill-tell-you-what-will-the-real-trump-administration-please-step-forward/",11
"The New York Times - Breaking News, World News & Multimedia","Trump Says Toxic Attack Changed His View of Syria","https://www.nytimes.com/2017/04/05/world/middleeast/king-abdullah-jordan-trump.html",9
"The New York Times - Breaking News, World News & Multimedia","Haley Says U.S. May ‘Take Our Own Action’ in Syria","https://www.nytimes.com/2017/04/05/world/middleeast/syria-chemical-attack-un.html",10
"The New York Times - Breaking News, World News & Multimedia","Assad’s History of Chemical Attacks, and Other Atrocities","https://www.nytimes.com/2017/04/05/world/middleeast/syria-bashar-al-assad-atrocities-civilian-deaths-gas-attack.html",8
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos"," Connecting the dots in the Rice saga  ","http://fxn.ws/2oJCoRV",7
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","President Trump as a university commencement speaker? Not so much","http://www.foxnews.com/politics/2017/04/05/president-trump-as-university-commencement-speaker-not-so-much.html",10
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","'He IS a mutt': De Niro says Trump 'sullied and debased the presidency'","http://insider.foxnews.com/2017/04/05/robert-de-niro-slams-donald-trump-mutt-ridiculous-hurt-presidency-tribeca-film-festival",13
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","Number of Democrats 'proud' to be American dives under Trump, poll finds","http://www.foxnews.com/politics/2017/04/05/number-democrats-proud-to-be-american-dives-under-trump-poll-finds.html",12
"The New York Times - Breaking News, World News & Multimedia","The Holes in Russia’s Account of the Attack","https://www.nytimes.com/2017/04/05/world/middleeast/russia-account-syria-chemical-attack.html",8
"The New York Times - Breaking News, World News & Multimedia","Sidelined on Security Council, Bannon Sees Role Diminish","https://www.nytimes.com/2017/04/05/us/politics/national-security-council-stephen-bannon.html",8
"The New York Times - Breaking News, World News & Multimedia","Trump Leaves New York Guessing on Infrastructure Plans","https://www.nytimes.com/2017/04/05/us/politics/donald-trump-infrastructure-bill.html",8
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","OPINION: Susan Rice unmasking scandal cries out for a grand jury","http://www.foxnews.com/opinion/2017/04/05/susan-rice-unmasking-scandal-cries-out-for-grand-jury.html",11
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos"," Martha battles Dem over Susan Rice probe","http://insider.foxnews.com/2017/04/05/democrat-says-susan-rice-unmasking-donald-trump-guilty-russia-collusion",7
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","VIDEO: Gerri Willis on defeating breast cancer","http://video.foxbusiness.com/v/5386891980001/?#sp=show-clips",7
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","Gerri Willis: Surprised by joy on the last day of my cancer treatment","http://www.foxnews.com/opinion/2017/01/04/gerri-willis-surprised-by-joy-on-last-day-my-cancer-treatment.html",13
"The New York Times - Breaking News, World News & Multimedia","Partial Transcript of Interview","https://www.nytimes.com/2017/04/05/us/politics/donald-trump-interview-new-york-times-transcript.html",4
"The New York Times - Breaking News, World News & Multimedia","Trump Says Rice Committed Crime, Citing No Evidence","https://www.nytimes.com/2017/04/05/us/politics/trump-interview-susan-rice.html",8
"The New York Times - Breaking News, World News & Multimedia","Trump Defends Embattled O’Reilly as a ‘Good Person’","https://www.nytimes.com/2017/04/05/business/media/trump-oreilly-fox-murdochs.html",8
"The New York Times - Breaking News, World News & Multimedia","A New Hashtag and Stories of Workplace Harassment","https://www.nytimes.com/2017/04/05/business/media/bill-oreilly-sexual-harassment-fox-women.html",8
"The New York Times - Breaking News, World News & Multimedia","Here’s The Times’s Reporting on the Fox Settlements","https://www.nytimes.com/2017/04/01/business/media/bill-oreilly-sexual-harassment-fox-news.html",8
"The New York Times - Breaking News, World News & Multimedia","As New Health Plan Dies, G.O.P. Can’t Agree on the Culprit","https://www.nytimes.com/2017/04/05/us/politics/health-care-house-republicans.html",11
"The New York Times - Breaking News, World News & Multimedia","Senators United on Court Split: It’s Bad for the Country","https://www.nytimes.com/2017/04/05/us/politics/neil-gorsuch-supreme-court.html",10
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","Risk of homegrown Islamist extremism rising - House report","http://fxn.ws/2obFZu7",9
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","ISIS turns Mosul museum into tax office","http://fxn.ws/2oKFOnl",7
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","Secret Service agent arrested, suspended after hotel meeting with prostitute","http://www.foxnews.com/politics/2017/04/05/secret-service-agent-arrested-suspended-after-hotel-meeting-with-prostitute.html?intcmp=latestnews",10
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","Black woman 'sick of fancy white people' allegedly attacks couple at Virginia gas station","http://www.foxnews.com/us/2017/04/05/black-woman-sick-fancy-white-people-allegedly-attacks-couple-at-virginia-gas-station.html?intcmp=latestnews",14
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","Jeter, Jeb Bush among billion-dollar bidders for battered Miami Marlins","http://www.foxbusiness.com/features/2017/04/05/jeter-jeb-bush-among-billion-dollar-bidders-for-battered-marlins.html",10
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","Kansas principal resigns after student journalists look into her credentials","http://www.foxnews.com/us/2017/04/05/kansas-principal-resigns-after-student-journalists-look-into-her-credentials.html?intcmp=latestnews",10
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","What is Sarin? In Syria, potent gas believed to be behind fatal attack","http://fxn.ws/2oJY4NH",13
"The New York Times - Breaking News, World News & Multimedia","What if Senate Goes Beyond Filibuster ‘Nuclear Option’?","https://www.nytimes.com/2017/04/05/us/politics/filibuster-gorsuch-nomination-republicans.html",8
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","McCain says Obama 'took a hike,' let Syria's Assad commit further war crimes","http://bit.ly/2oDHja5",13
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","Ohio quadruplet brothers accepted at Ivy League universities","http://www.foxnews.com/us/2017/04/05/ohio-quadruplet-brothers-accepted-at-ivy-league-universities.html?intcmp=latestnews",8
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","World's No. 1 player Dustin Johnson injures back falling down stairs on the eve of the Masters","http://www.foxnews.com/sports/2017/04/05/dustin-johnsons-masters-in-question-after-fall-down-stairs.html?intcmp=latestnews",17
"The New York Times - Breaking News, World News & Multimedia","Tracking the President’s Visits to Trump Properties","https://www.nytimes.com/interactive/2017/04/05/us/politics/tracking-trumps-visits-to-his-branded-properties.html",7
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","VIDEO: Julie Roginsky 'claps back' at unequal pay in the workplace ","http://bit.ly/2obc992",11
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","What state is the most stressed?","http://www.foxnews.com/lifestyle/2017/04/05/alabama-is-most-stressed-us-state-where-does-yours-rank.html?intcmp=latestnews",6
"The New York Times - Breaking News, World News & Multimedia","Worried About Online Privacy? The Pros and Cons of VPNs","https://www.nytimes.com/2017/04/05/technology/personaltech/vpn-internet-security.html",10
"The New York Times - Breaking News, World News & Multimedia","A Positive Outlook May Be Good for Your Health","https://www.nytimes.com/2017/03/27/well/live/positive-thinking-may-improve-health-and-extend-life.html",9
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","Drug cartel allegedly aided by top Mexican police commander, now in US custody","http://www.foxnews.com/world/2017/04/05/drug-cartel-allegedly-aided-by-top-mexican-police-commander-now-in-us-custody.html?intcmp=latestnews",13
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","Missing boy found hiding under bed after three-hour police search","http://www.foxnews.com/world/2017/04/05/missing-boy-found-hiding-under-bed-after-three-hour-police-search.html?intcmp=latestnews",10
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","Villanova student shaves her head to confront ‘hair privilege’","https://heatst.com/culture-wars/villanova-student-shaves-her-head-to-confront-hair-privilege/",9
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","Military strike on North Korea may be only option, Gen. Keane says","http://www.foxnews.com/politics/2017/04/05/military-strike-on-north-korea-may-be-only-option-gen-keane-says.html?intcmp=latestnews",12
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","Trump, Xi meeting to set tone for future relationship between US and China","http://www.foxnews.com/politics/2017/04/05/trump-xi-meeting-to-set-tone-for-future-relationship-between-us-and-china.html?intcmp=latestnews",13
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","Tennessee Amber Alert: Ex-student describes similar 'friendship' with wanted teacher","http://www.foxnews.com/us/2017/04/05/tennessee-amber-alert-ex-student-describes-similar-friendship-with-wanted-teacher.html?intcmp=latestnews",10
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","Texas Amber Alert: Teen likely kidnapped by mom, two men","http://fxn.ws/2o4LElr",10
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","Joe Arpaio's Tent City jail to shut down, new Arizona sheriff announces","http://www.foxnews.com/us/2017/04/05/joe-arpaios-tent-city-jail-to-shut-down-new-arizona-sheriff-announces.html?intcmp=latestnews",12
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","What is the National Security Council? Bannon off key panel","http://fxn.ws/2nccMA5",10
"The New York Times - Breaking News, World News & Multimedia","The Diva Departs: Renée Fleming’s Farewell to Opera","https://www.nytimes.com/2017/04/05/arts/music/the-diva-departs-renee-flemings-farewell-to-opera.html",8
"The New York Times - Breaking News, World News & Multimedia","China Moves a Step Forward in Its Quest for Food Security","https://www.nytimes.com/2017/04/05/business/syngenta-chemchina-takeover.html",11
"The New York Times - Breaking News, World News & Multimedia","Pepsi Pulls Ad Accused of Trivializing Black Lives Matter","https://www.nytimes.com/2017/04/05/business/kendall-jenner-pepsi-ad.html",9
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","Video shows woman nearly ripped from home by tornado","https://www.aol.com/article/news/2017/04/04/woman-recalls-tornado-hit-home-i-thought-i-was-going-die/22025949/?ncid=txtlnkusaolp00000058&",9
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","Las Vegas man indicted on terrorism charges","http://www.foxnews.com/us/2017/04/05/las-vegas-man-indicted-on-terrorism-charges.html?intcmp=latestnews",7
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","Kelly says full-scale border wall 'unlikely,' clarifies position on family detentions","http://fxn.ws/2o3OIy5",11
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","The anti-sanctuary city: Arizona county bucks national trend","http://fxn.ws/2nbXknu",8
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","Woman says grandson with autism is forced to have recess inside ","https://www.aol.com/article/news/2017/04/04/woman-says-grandson-with-autism-is-forced-to-have-recess-inside/22026204/?ncid=txtlnkusaolp00000058&",11
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","Trump faults Obama for Middle East ‘mess,’ says he’s now responsible","http://fxn.ws/2obptu5",11
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","Syria, Trump's first national security test, needs more than tough tweets","http://fxn.ws/2nFpti1",11
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","US Navy grounds T-45 training jet fleet following Fox News report","http://www.foxnews.com/politics/2017/04/05/us-navy-grounds-t-45-training-jet-fleet-following-fox-news-report.html?intcmp=latestnews",11
"The New York Times - Breaking News, World News & Multimedia","What One Town Is Doing to Battle Student Stress","https://www.nytimes.com/2017/04/05/education/edlife/overachievers-student-stress-in-high-school-.html",9
"The New York Times - Breaking News, World News & Multimedia","4 Well-Being Workouts to Help You Get Happy","https://www.nytimes.com/2017/04/05/education/edlife/get-happy-four-well-being-workouts.html",8
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","The ultimate cop car?","http://www.foxnews.com/auto/2017/04/05/cant-run-from-nissan-gt-r-police-pursuit.html",4
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","Alec knew star was underage","http://www.foxnews.com/entertainment/2017/04/05/producer-says-alec-baldwin-knew-actress-nikki-reed-was-underage-in-racy-film.html",5
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos"," Hub on Fergie's bikini bod","http://www.foxnews.com/entertainment/2017/04/05/josh-duhamel-talks-fergies-bikini-body.html",5
"The Wall Street Journal & Breaking News, Business, Financial and Economic News, World News and Video","The Wall Street Journal","http://www.wsj.com",4
"The New York Times - Breaking News, World News & Multimedia","Christie Lays Low, but Can’t Avoid Wrath of Commuters","https://www.nytimes.com/2017/04/05/nyregion/chris-christie-nj-transit-derailment.html",9
"The New York Times - Breaking News, World News & Multimedia","Canadian Group Stirs Fears of a ‘Slowly Invading’ Islam","https://www.nytimes.com/2017/04/05/world/canada/la-meute-muslims-quebec.html",9
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","Katy posts racy snap","http://www.foxnews.com/entertainment/2017/04/05/katy-perry-googles-katy-perry-hot-to-feel-good-about-herself.html",4
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","'Friends' star's sad news","http://www.foxnews.com/entertainment/2017/04/05/david-schwimmer-and-wife-zoe-buckman-taking-time-apart.html",4
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","These people die earlier","http://www.foxnews.com/lifestyle/2017/04/05/being-slightly-overweight-may-cut-years-off-your-life.html",4
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","Where is Caligula's orgy boat?","http://www.foxnews.com/tech/2017/04/05/search-is-on-for-caligulas-2000-year-old-orgy-boat.html",5
"The New York Times - Breaking News, World News & Multimedia","Los Angeles Raids Target Investor Green Card Fraud","https://www.nytimes.com/2017/04/05/us/eb5-visa-investigation.html",8
"The New York Times - Breaking News, World News & Multimedia","Jeff Bezos’s Space Budget: $1 Billion a Year in Amazon Stock","https://www.nytimes.com/2017/04/05/science/blue-origin-rocket-jeff-bezos-amazon-stock.html",11
"The New York Times - Breaking News, World News & Multimedia","U.S. Women’s Soccer Ratifies New Labor Agreement","https://www.nytimes.com/2017/04/05/sports/soccer/uswnt-us-soccer-labor-deal-contract.html",7
"The New York Times - Breaking News, World News & Multimedia","St. Petersburg Attack Included Many Students Among Victims","https://www.nytimes.com/2017/04/05/world/europe/st-petersburg-metro-attack-russia.html",8
"The New York Times - Breaking News, World News & Multimedia","Alabama Governor May Face Prosecution After Ethics Ruling","https://www.nytimes.com/aponline/2017/04/05/us/ap-us-alabama-governor.html",8
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","Amy: Men think I'm pretty","http://www.foxnews.com/entertainment/2017/04/05/amy-schumer-get-enough-attention-from-men-that-feel-good.html",5
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","Manilow: Why I kept secret","http://www.foxnews.com/entertainment/2017/04/05/barry-manilow-opens-up-about-being-gay-explains-why-kept-sexuality-secret.html",5
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","Nivea apologizes for racist ad","http://www.foxnews.com/entertainment/2017/04/05/nivea-apologizes-for-white-is-purity-ad.html",5
